date,count,number
15-01,365,558
15-02,284,539
15-03,369,561
15-04,338,616
15-05,368,619
15-06,377,603
15-07,344,578
15-08,392,647
15-09,367,621
15-10,455,696
15-11,401,574
15-12,387,670
16-01,323,593
16-02,286,475
16-03,298,458
16-04,346,510
16-05,338,542
16-06,309,473
16-07,341,552
16-08,319,518
16-09,353,533
16-10,410,636
16-11,396,617
16-12,400,586
17-01,342,545
17-02,274,441
17-03,286,429
17-04,278,435
17-05,355,545
17-06,312,473
17-07,343,568
17-08,345,530
17-09,405,712
17-10,408,623
17-11,370,538
17-12,347,551
18-01,297,464
18-02,267,429
18-03,295,436
18-04,292,532
18-05,290,471
18-06,255,391
18-07,305,510
18-08,348,526
18-09,339,497
18-10,363,555
18-11,292,422
18-12,314,463
