num,Date,Open
0,2015-01-01,4
1,2015-01-02,8
2,2015-01-03,14
3,2015-01-04,17
4,2015-01-05,15
5,2015-01-06,17
6,2015-01-07,13
7,2015-01-08,8
8,2015-01-09,8
9,2015-01-10,10
10,2015-01-11,13
11,2015-01-12,9
12,2015-01-13,15
13,2015-01-14,13
14,2015-01-15,13
15,2015-01-16,13
16,2015-01-17,16
17,2015-01-18,8
18,2015-01-19,15
19,2015-01-20,14
20,2015-01-21,14
21,2015-01-22,14
22,2015-01-23,9
23,2015-01-24,11
24,2015-01-25,13
25,2015-01-26,10
26,2015-01-27,9
27,2015-01-28,8
28,2015-01-29,15
29,2015-01-30,9
30,2015-01-31,10
31,2015-02-01,9
32,2015-02-02,7
33,2015-02-03,11
34,2015-02-04,12
35,2015-02-05,7
36,2015-02-06,11
37,2015-02-07,14
38,2015-02-08,9
39,2015-02-09,15
40,2015-02-10,14
41,2015-02-11,14
42,2015-02-12,10
43,2015-02-13,14
44,2015-02-14,7
45,2015-02-15,11
46,2015-02-16,7
47,2015-02-17,13
48,2015-02-18,10
49,2015-02-19,10
50,2015-02-20,9
51,2015-02-21,9
52,2015-02-22,4
53,2015-02-23,11
54,2015-02-24,9
55,2015-02-25,8
56,2015-02-26,13
57,2015-02-27,11
58,2015-02-28,5
59,2015-03-01,8
60,2015-03-02,14
61,2015-03-03,14
62,2015-03-04,10
63,2015-03-05,7
64,2015-03-06,14
65,2015-03-07,15
66,2015-03-08,9
67,2015-03-09,15
68,2015-03-10,7
69,2015-03-11,11
70,2015-03-12,14
71,2015-03-13,8
72,2015-03-14,12
73,2015-03-15,12
74,2015-03-16,12
75,2015-03-17,17
76,2015-03-18,11
77,2015-03-19,14
78,2015-03-20,16
79,2015-03-21,7
80,2015-03-22,9
81,2015-03-23,11
82,2015-03-24,14
83,2015-03-25,4
84,2015-03-26,13
85,2015-03-27,11
86,2015-03-28,16
87,2015-03-29,14
88,2015-03-30,16
89,2015-03-31,14
90,2015-04-01,11
91,2015-04-02,9
92,2015-04-03,11
93,2015-04-04,9
94,2015-04-05,12
95,2015-04-06,7
96,2015-04-07,9
97,2015-04-08,14
98,2015-04-09,11
99,2015-04-10,7
100,2015-04-11,17
101,2015-04-12,7
102,2015-04-13,13
103,2015-04-14,14
104,2015-04-15,12
105,2015-04-16,6
106,2015-04-17,13
107,2015-04-18,13
108,2015-04-19,15
109,2015-04-20,13
110,2015-04-21,13
111,2015-04-22,4
112,2015-04-23,14
113,2015-04-24,9
114,2015-04-25,12
115,2015-04-26,12
116,2015-04-27,11
117,2015-04-28,12
118,2015-04-29,16
119,2015-04-30,12
120,2015-05-01,8
121,2015-05-02,11
122,2015-05-03,9
123,2015-05-04,8
124,2015-05-05,9
125,2015-05-06,14
126,2015-05-07,14
127,2015-05-08,8
128,2015-05-09,13
129,2015-05-10,9
130,2015-05-11,11
131,2015-05-12,10
132,2015-05-13,10
133,2015-05-14,10
134,2015-05-15,11
135,2015-05-16,20
136,2015-05-17,12
137,2015-05-18,8
138,2015-05-19,8
139,2015-05-20,17
140,2015-05-21,18
141,2015-05-22,10
142,2015-05-23,12
143,2015-05-24,12
144,2015-05-25,10
145,2015-05-26,19
146,2015-05-27,16
147,2015-05-28,8
148,2015-05-29,14
149,2015-05-30,12
150,2015-05-31,17
151,2015-06-01,9
152,2015-06-02,11
153,2015-06-03,10
154,2015-06-04,14
155,2015-06-05,15
156,2015-06-06,8
157,2015-06-07,12
158,2015-06-08,14
159,2015-06-09,12
160,2015-06-10,12
161,2015-06-11,15
162,2015-06-12,11
163,2015-06-13,13
164,2015-06-14,8
165,2015-06-15,11
166,2015-06-16,11
167,2015-06-17,17
168,2015-06-18,10
169,2015-06-19,8
170,2015-06-20,13
171,2015-06-21,12
172,2015-06-22,14
173,2015-06-23,16
174,2015-06-24,14
175,2015-06-25,13
176,2015-06-26,17
177,2015-06-27,13
178,2015-06-28,15
179,2015-06-29,14
180,2015-06-30,15
181,2015-07-01,8
182,2015-07-02,13
183,2015-07-03,11
184,2015-07-04,9
185,2015-07-05,10
186,2015-07-06,12
187,2015-07-07,13
188,2015-07-08,12
189,2015-07-09,8
190,2015-07-10,22
191,2015-07-11,7
192,2015-07-12,5
193,2015-07-13,15
194,2015-07-14,6
195,2015-07-15,13
